1994,1,27
1994,2,28.7
1994,3,36.5
1994,4,27.3
1994,5,36.9
1994,6,25.6
1994,7,22.1
1994,8,23.4
1994,9,28
1994,10,19.8
1994,11,21.6
1994,12,37.7
1995,1,51.7
1995,2,34.6
1995,3,58.2
1995,4,38.2
1995,5,50.4
1995,6,35
1995,7,31.8
1995,8,35
1995,9,29.2
1995,10,26.6
1995,11,31.3
1995,12,44
1996,1,48.4
1996,2,57
1996,3,54.8
1996,4,46
1996,5,49.4
1996,6,35.8
1996,7,26.7
1996,8,26
1996,9,24.7
1996,10,27.3
1996,11,31.5
1996,12,38.8
1997,1,49.6
1997,2,58.8
1997,3,61.5
1997,4,54.8
1997,5,53.9
1997,6,41.3
1997,7,46.8
1997,8,39.4
1997,9,41.6
1997,10,38
1997,11,44.2
1997,12,46.8
1998,1,66.3
1998,2,69.2
1998,3,64.1
1998,4,64.6
1998,5,52.6
1998,6,40.8
1998,7,44.4
1998,8,39.6
1998,9,33.7
1998,10,33.6
1998,11,24.5
1998,12,39.8
1999,1,45.7
1999,2,61.6
1999,3,53.1
1999,4,53.2
1999,5,59
1999,6,41.5
1999,7,41.9
1999,8,33.6
1999,9,29.7
1999,10,31.8
1999,11,44.5
1999,12,50.5
2000,1,46.5
2000,2,78.3
2000,3,73.6
2000,4,53
2000,5,61.2
2000,6,48.4
2000,7,52.8
2000,8,40.4
2000,9,44.3
2000,10,43.9
2000,11,57.1
2000,12,43.3
2001,1,52.1
2001,2,47.7
2001,3,65.8
2001,4,56.6
2001,5,71
2001,6,50.1
2001,7,45.9
2001,8,46.9
2001,9,40.1
2001,10,41
2001,11,36.3
2001,12,35.9
2002,1,40
2002,2,53
2002,3,58.6
2002,4,57.3
2002,5,47
2002,6,39.7
2002,7,40.7
2002,8,52.6
2002,9,43.2
2002,10,45.4
2002,11,41.3
2002,12,39.9
2003,1,46.6
2003,2,55.7
2003,3,52
2003,4,57.7
2003,5,50.2
2003,6,44.1
2003,7,49.2
2003,8,50.7
2003,9,49.3
2003,10,51.9
2003,11,50.4
2003,12,53.1
2004,1,53.9
2004,2,62.9
2004,3,69.2
2004,4,69.8
2004,5,66.5
2004,6,61.5
2004,7,60.8
2004,8,67.8
2004,9,58.9
2004,10,61.7
2004,11,56.8
2004,12,70
2005,1,65.3
2005,2,75.1
2005,3,80.4
2005,4,75.3
2005,5,73.2
2005,6,70.9
2005,7,67.2
2005,8,79.4
2005,9,69
2005,10,67.2
2005,11,64.9
2005,12,78.1
2006,1,72.6
2006,2,79.6
2006,3,99.3
2006,4,84.1
2006,5,102.3
2006,6,95.6
2006,7,77.1
2006,8,90.3
2006,9,80
2006,10,89
2006,11,86.9
2006,12,93.1
2007,1,90.7
2007,2,96.6
2007,3,122.3
2007,4,94.9
2007,5,106
2007,6,110
2007,7,105
2007,8,103.1
2007,9,93.3
2007,10,101.3
2007,11,99.3
2007,12,102.4
2008,1,120.3
2008,2,130
2008,3,148.7
2008,4,152.4
2008,5,112.8
2008,6,148.3
2008,7,129.4
2008,8,135.6
2008,9,119.6
2008,10,116.9
2008,11,84.8
2008,12,89.8
2009,1,94.9
2009,2,116.8
2009,3,143.4
2009,4,114.8
